"rules","support","confidence","coverage","lift","count"
"{tomato sauce} => {spaghetti}",0.00626583122250367,0.443396226415094,0.0141314491401146,2.54664249183738,47
"{light cream} => {mineral water}",0.00733235568590855,0.47008547008547,0.0155979202772964,1.97209793686304,55
"{protein bar} => {mineral water}",0.00773230235968538,0.41726618705036,0.0185308625516598,1.7505110005955,58
"{meatballs} => {spaghetti}",0.00639914678042928,0.305732484076433,0.0209305425943208,1.75597194721082,48
"{meatballs} => {mineral water}",0.00773230235968538,0.369426751592357,0.0209305425943208,1.5498154718648,58
"{energy bar} => {mineral water}",0.00679909345420611,0.251231527093596,0.0270630582588988,1.05396402949053,51
"{rice} => {mineral water}",0.00773230235968538,0.411347517730496,0.018797493667511,1.72568105732464,58
"{parmesan cheese} => {spaghetti}",0.00679909345420611,0.342281879194631,0.0198640181309159,1.96589309022889,51
"{almonds} => {eggs}",0.00653246233835489,0.320261437908497,0.0203972803626183,1.78210760070596,49
"{almonds} => {mineral water}",0.00759898680175977,0.372549019607843,0.0203972803626183,1.56291397990964,57
"{light mayo} => {french fries}",0.00733235568590855,0.269607843137255,0.0271963738168244,1.57747927564161,55
"{vegetables mix} => {mineral water}",0.00786561791761099,0.305699481865285,0.0257299026796427,1.28246745719883,59
"{french wine} => {spaghetti}",0.00773230235968538,0.343195266272189,0.0225303292894281,1.97113912121569,58
"{french wine} => {mineral water}",0.00826556459138782,0.366863905325444,0.0225303292894281,1.53906384443297,62
"{oil} => {chocolate}",0.00613251566457806,0.265895953757225,0.0230635915211305,1.62285235893649,46
"{oil} => {mineral water}",0.00733235568590855,0.317919075144509,0.0230635915211305,1.33373097464148,55
"{fresh tuna} => {spaghetti}",0.00679909345420611,0.305389221556886,0.0222636981735769,1.75400042182098,51
"{fresh tuna} => {mineral water}",0.00879882682309025,0.395209580838323,0.0222636981735769,1.65797934332677,66
"{pepper} => {spaghetti}",0.00986535128649513,0.371859296482412,0.0265297960271964,2.13577073730059,74
"{pepper} => {mineral water}",0.00826556459138782,0.311557788944724,0.0265297960271964,1.30704416939283,62
"{ham} => {spaghetti}",0.00919877349686708,0.346733668341709,0.0265297960271964,1.9914619036992,69
"{ham} => {mineral water}",0.00919877349686708,0.346733668341709,0.0265297960271964,1.45461367238879,69
"{cereals} => {green tea}",0.00653246233835489,0.253886010362694,0.0257299026796427,1.92169421163529,49
"{cereals} => {milk}",0.00706572457005733,0.274611398963731,0.0257299026796427,2.11919763747628,53
"{cereals} => {spaghetti}",0.0066657778962805,0.259067357512953,0.0257299026796427,1.48795118583818,50
"{cereals} => {mineral water}",0.010265297960272,0.398963730569948,0.0257299026796427,1.67372871532728,77
"{red wine} => {eggs}",0.00706572457005733,0.251184834123223,0.0281295827223037,1.39772807177915,53
"{red wine} => {spaghetti}",0.010265297960272,0.364928909952607,0.0281295827223037,2.09596612063898,77
"{red wine} => {mineral water}",0.0109318757499,0.388625592417062,0.0281295827223037,1.63035825991073,82
"{butter} => {chocolate}",0.00826556459138782,0.274336283185841,0.0301293160911878,1.67436652577461,62
"{whole wheat pasta} => {olive oil}",0.0079989334755366,0.271493212669683,0.0294627383015598,4.1224100976423,60
"{whole wheat pasta} => {milk}",0.00986535128649513,0.334841628959276,0.0294627383015598,2.58399903171145,74
"{whole wheat pasta} => {spaghetti}",0.00879882682309025,0.298642533936652,0.0294627383015598,1.71525087829925,66
"{whole wheat pasta} => {mineral water}",0.00959872017064391,0.32579185520362,0.0294627383015598,1.36675878405053,72
"{cottage cheese} => {mineral water}",0.00959872017064391,0.301255230125523,0.0318624183442208,1.26382297604673,72
"{hot dogs} => {spaghetti}",0.00866551126516464,0.267489711934156,0.0323956805759232,1.53632490751769,65
"{hot dogs} => {mineral water}",0.00919877349686708,0.283950617283951,0.0323956805759232,1.19122683459,69
"{tomato juice} => {mineral water}",0.00959872017064391,0.315789473684211,0.0303959472070391,1.32479689155775,72
"{brownies} => {mineral water}",0.00959872017064391,0.284584980237154,0.0337288361551793,1.19388810780699,72
"{avocado} => {mineral water}",0.0115984535395281,0.348,0.0333288894814025,1.45992617449664,87
"{fresh bread} => {mineral water}",0.013331555792561,0.309597523219814,0.043060925209972,1.29882048191937,100
"{salmon} => {chocolate}",0.0106652446340488,0.250783699059561,0.0425276629782696,1.53061719011047,80
"{salmon} => {spaghetti}",0.0134648713504866,0.316614420062696,0.0425276629782696,1.81847225489302,101
"{salmon} => {mineral water}",0.0170643914144781,0.401253918495298,0.0425276629782696,1.68333648916847,128
"{honey} => {spaghetti}",0.0118650846553793,0.25,0.0474603386215171,1.43587289433384,89
